word,due,difficulty,stability,factor,ivl
国連,6,10.0,7.400000095367432,2150,6
短大,11,7.2729997634887695,79.62000274658203,2750,134
遺子,12,9.392000198364258,44.06999969482422,2500,173
神棚,13,9.611000061035156,10.239999771118164,2500,11
就活,17,9.545999526977539,41.529998779296875,2350,163
学割,26,,,2450,294
定期券,28,9.600000381469727,41.7400016784668,2200,161
就活,31,10.0,27.280000686645508,2050,91
三振,33,,,2200,508
定期券,51,8.059000015258789,117.04000091552734,1900,128
摂氏,59,9.89900016784668,54.029998779296875,2250,79
三振,61,8.973999977111816,64.26000213623047,2000,89
遺子,63,9.012999534606934,38.310001373291016,3050,183
儚くなる,74,8.894000053405762,72.45999908447266,2100,113
第二次世界大戦,79,,,2650,921
学割,92,4.929999828338623,129.4199981689453,2300,94
終電,102,9.190999984741211,86.58999633789062,2400,334
良かろう,119,,,3100,404
筋トレ,148,6.7789998054504395,120.2699966430664,2800,251
国連,153,8.772000312805176,78.04000091552734,2750,301
さび,158,,,2200,738
神棚,162,7.175000190734863,165.19000244140625,2500,267
儚くなる,195,9.454000473022461,65.5199966430664,2400,281
原爆,198,,,2950,1080
良かろう,214,8.821999549865723,100.8499984741211,2650,389
終電,219,,,2350,539
筋トレ,235,8.154999732971191,121.58999633789062,3100,469
第二次世界大戦,237,,,2800,749
さび,238,,,2200,519
明治維新,325,,,2100,725
特急券,456,9.331000328063965,146.47999572753906,2200,565
特急券,483,9.291999816894531,173.19000244140625,2200,668
摂氏,631,9.031999588012695,205.58999633789062,2350,793
部活,703,9.050000190734863,191.85000610351562,2350,740
江戸,743,,,2200,1144
明治維新,907,,,2650,1450
原爆,909,8.491999626159668,276.6300048828125,2650,1067
省エネ,1047,8.232000350952148,300.2200012207031,2800,1158
江戸,1409,,,2950,1900
短大,1428,9.008999824523926,386.0400085449219,2250,1489
部活,2471,7.998000144958496,656.9600219726562,2750,2534
省エネ,4526,7.086999893188477,1185.0699462890625,3100,4571
仕入れ,5,3.999000072479248,15.710000038146973,2600,14
噛み付く,5,7.458000183105469,16.3700008392334,2350,11
お握り,6,3.990000009536743,5.800000190734863,2650,4
虐め,6,,,2500,60
色んな,6,,,2500,61
虐め,7,6.675000190734863,10.210000038146973,2400,8
幾つか,7,6.581999778747559,25.68000030517578,2400,20
撃つ,8,,,2500,55
茸,8,5.705999851226807,48.25,2500,12
ガンガン,8,6.6579999923706055,25.540000915527344,2200,6
我が,9,4.929999828338623,7.179999828338623,2500,8
嫌がらせ,13,5.806000232696533,13.699999809265137,2300,13
揺ら揺ら,15,5.748000144958496,34.040000915527344,2500,23
汚れ,15,5.771999835968018,28.1299991607666,2300,19
早々,16,4.078999996185303,37.41999816894531,2550,11
数多く,16,,,2500,70
彷徨う,16,7.4079999923706055,18.799999237060547,2150,17
頷く,19,6.650000095367432,37.279998779296875,2400,28
あり得ない,20,5.781000137329102,35.119998931884766,2350,25
和平,22,5.815999984741211,31.739999771118164,2450,25
汚れ,22,4.007999897003174,33.220001220703125,2550,27
彷徨う,23,7.474999904632568,40.150001525878906,2200,32
未だ未だ,23,6.607999801635742,23.15999984741211,2300,20
我が,23,5.771999835968018,32.06999969482422,2300,23
茸,24,4.929999828338623,2.4000000953674316,2500,60
仕入れ,26,,,2500,80
大きさ,26,4.929999828338623,43.34000015258789,2500,36
蟻,27,4.929999828338623,49.060001373291016,2500,34
じゃが芋,28,5.830999851226807,50.189998626708984,2550,40
頷く,28,7.449999809265137,28.959999084472656,2350,25
大きさ,29,4.929999828338623,2.4000000953674316,2500,61
直に,29,,,2500,76
お仕舞い,30,6.60699987411499,48.41999816894531,2150,37
梳かす,30,3.1659998893737793,54.470001220703125,2750,42
未だ未だ,30,4.929999828338623,50.150001525878906,2500,43
嫌がらせ,32,4.104000091552734,47.63999938964844,2650,39
